"","regulatory.gene","target.gene","weight"
"598","TFDP2","GZF1",0.01725959270443
"599","CREB1","ZBTB18",0.0172578095026839
"600","NFATC1","RBPJ",0.0172416549814184
"601","ZNF671","ZFX",0.0172367633968987
"602","JUNB","NR4A3",0.0172303837774911
"603","KLF13","MEF2D",0.0172298193567313
"604","AEBP1","ELF1",0.0172153914405583
"605","ZNF717","HOXB3",0.0172088909687023
"606","IRF4","ATF3",0.0172059980594453
"607","XPA","TSHZ1",0.0172001501711907
"608","IRF1","SKI",0.017199326211524
"609","SREBF1","IRF4",0.0171951787817099
"610","ZNF804A","SP1",0.0171865543412619
"611","ZNF718","THAP7",0.017184161869754
"612","SPEN","ATF5",0.017171308762026
"613","ETS1","ZNF217",0.0171704907166191
"614","ZNF324","SP8",0.0171685563519687
"615","E2F7","ZNF787",0.0171683331130569
"616","ZNF852","REST",0.0171682439656556
"617","ZNF101","TGIF1",0.0171575131984323
"618","ZNF233","ZNF699",0.0171563532579912
"619","LCOR","ZNF880",0.0171551932010941
"620","MYBL2","YBX1",0.0171491063195417
"621","ZNF718","ZNF217",0.0171480946049023
"622","NFATC3","MEF2D",0.017145899070468
"624","YBX3","ZBED3",0.0171403280631142
"625","KLF12","POU6F1",0.0171397719786028
"626","ATF3","CHCHD3",0.0171218412243208
"627","ZNF419","ZNF559",0.0171161226419191
"628","ZNF706","SPIB",0.0171079692327724
"629","ZNF121","NKX6-3",0.0171044156469011
"630","NFYB","ZNF595",0.0171022733655326
"631","ATMIN","CEBPD",0.017101851247033
"632","DMTF1","ZNF91",0.0171017599128372
"633","BCL6","NR4A3",0.0170884374232795
